"","Country","City","CPI with 5 Dimensions","CPI with 4 Dimensions","Productivity Index","Quality of Life Index","Infrustructure Index","Environment Index","Equity Index"
"50","Portugal","Lisbon","0.85298696822030229","0.89888427627255207","0.82669399080634809","0.86686631082751997","0.99498743710661852","0.91558913649025064","0.69166666666666665"
"51","Republic of Korea","Seoul","0.86132466883304315","0.87555832042245552","0.80122131885687076","0.90293414073847922","0.98856260859221656","0.82172701949860727","0.80666666666666664"
"52","Romania","Bucharest","0.83638319770499547","0.82119443407399084","0.7073877443828438","0.76654657632412249","0.9677263492277256","0.86663324048282264","0.9"
"53","Russia","Moscow","0.79339577886008172","0.86950420085569768","0.80612445533711075","0.81301053135732926","0.96042911926135033","0.90807799442896941","0.55000000000000016"
"54","Senegal","Dakar","0.58051393113981431","0.55169195609785882","0.5098155827437354","0.38394319552321715","0.79393911992429844","0.59610027855153203","0.71166666666666667"
"55","South Africa","Cape Town","0.59018947681277079","0.75821313135415569","0.62849284742874101","0.64455224538840705","0.93276349659305258","0.87465181058495822","0.21666666666666679"
"56","South Africa","Johannesburg","0.47898809172986212","0.74165376718193166","0.6535514332764798","0.64455224538840705","0.88002246585758725","0.81615598885793872","8.333333333333337E-2"
"57","Spain","Barcelona","0.8758700946758774","0.90899791043751532","0.82882079474996861","0.9116962153743533","0.99498743710661852","0.90807799442896941","0.755"
"58","Sweden","Stockholm","0.89750684845670714","0.93356716527963568","0.8959834729025058","0.92525440220606092","0.99497474666872332","0.92089275766016709","0.76666666666666672"
"59","Switzerland","Zurich","0.88370631865746874","0.91417115794658876","0.86760304193850735","0.85806611708394764","0.99749056993367968","0.9405013927576602","0.77166666666666672"
"60","Thailand","Bangkok","0.7332510705514379","0.79399213443240568","0.718980051196496","0.74661278425303645","0.87084754011904064","0.85017906884202143","0.53333333333333344"
"61","Turkey","Ankara","0.77951744111881782","0.80560869366188714","0.69930750880896309","0.80245521437238077","0.84207747845153069","0.89136490250696376","0.68333333333333335"
"62","Uganda","Kampala","0.58141880964974124","0.58955004206198935","0.51214801168199509","0.48643347956165228","0.50707689093291164","0.95629069637883013","0.55000000000000016"
"63","Ukraine","Kyïv","0.79828962283030147","0.78055874839736084","0.57936675999995269","0.75686328658813706","0.96834325028716972","0.87422261838440107","0.87333333333333329"
"64","United Kingdom","London","0.90393671186555113","0.93391769809932956","0.92328542271835345","0.89770776200425983","0.99749056993367968","0.92014159702878362","0.79333333333333333"
"65","United Republic of Tanzania","Dar es Salaam","0.57058029103328278","0.52996148995628745","0.4266160517246142","0.37074061469772801","0.60693519839454491","0.82172701949860727","0.76666666666666672"
"66","United States","New York","0.8249543043138069","0.93418643076501984","0.94016668812498894","0.86629547264386964","0.99369994419962671","0.9410399257195915","0.50166666666666671"
"67","Viet Nam","Hà Noi","0.75634618077972959","0.77578722050409166","0.71174885917714581","0.76121475406174577","0.91215646041912046","0.73293788300835661","0.68333333333333335"
"68","Zambia","Lusaka","0.43426940411605652","0.50722989813673658","0.3160635925253929","0.46323024998015022","0.58992487998502985","0.76639256267409472","0.23333333333333339"
"69","Zimbabwe","Harare","0.49311171160025885","0.54180804553881334","0.24617207227487595","0.45110041119377592","0.89867477021668307","0.86350974930362123","0.33833333333333349"
